hour,day_of_week,is_weekend,route_id,stop_sequence,distance_to_next_stop_km,traffic_level,rain_flag,passenger_count,bus_capacity,actual_travel_time_min,crowding_level
6,3,False,15,11,2.45,2,0,25,50,7.8526894990510145,Medium
20,3,False,8,8,2.13,1,0,37,50,8.771110913305991,Medium
9,3,False,16,14,0.73,2,0,46,50,7.447772411252967,High
4,2,False,7,5,1.63,1,1,30,50,5.7466401921349535,Medium
20,1,False,20,12,1.6,1,0,33,50,8.111272456051594,Medium
1,5,True,6,6,1.87,1,1,29,50,7.3493191580269315,Medium
15,6,True,8,14,0.99,1,0,21,50,2.7407390048162865,Medium
20,1,False,13,9,1.24,1,0,33,50,6.042161613896742,Medium
7,6,True,11,3,2.27,2,0,41,50,10.436417054947713,High
8,3,False,7,9,2.06,1,0,34,50,8.066832512996985,Medium
2,3,False,8,6,2.72,2,0,33,50,8.926481766877894,Medium
22,6,True,14,7,0.6,2,0,28,50,3.509641487863874,Medium
6,0,False,20,13,1.77,3,0,32,50,8.778947022370758,Medium
3,4,False,7,11,2.24,3,0,33,50,8.674838991326332,Medium
11,3,False,20,14,2.71,1,0,23,50,7.282041625762938,Medium
0,0,False,20,13,2.65,1,0,22,50,6.092314628974792,Medium
18,1,False,12,8,2.86,1,0,47,50,9.748471595766368,High
16,1,False,20,12,1.13,2,0,42,50,5.290115104970512,High
21,6,True,5,1,2.09,2,0,20,50,8.162517381962733,Medium
22,3,False,11,8,1.09,2,0,36,50,5.882602652939094,Medium
10,6,True,16,1,0.88,2,0,49,50,7.551771818224312,High
3,2,False,3,3,1.37,1,1,12,50,6.454006420494714,Low
7,0,False,11,12,2.34,1,0,43,50,8.666144567955754,High
15,1,False,16,9,1.79,1,1,27,50,7.111412299866592,Medium
22,0,False,9,3,2.25,3,1,33,50,11.460333357856536,Medium
19,2,False,17,8,2.46,2,0,44,50,11.203447035393545,High
17,5,True,18,2,2.23,2,0,48,50,9.97265916488634,High
20,3,False,8,7,2.3,1,0,40,50,10.23667257900874,High
21,5,True,6,6,1.48,3,0,42,50,7.466500945938954,High
14,0,False,5,12,2.31,1,0,27,50,5.584553750969444,Medium
13,4,False,6,3,2.37,3,0,42,50,10.299443106114996,High
0,3,False,1,3,0.92,2,1,38,50,7.155037469300503,High
23,1,False,15,6,1.4,1,0,22,50,4.741418830254695,Medium
8,2,False,16,7,1.23,3,0,50,50,10.217523843153025,High
12,3,False,1,8,2.25,3,1,27,50,10.423717314169991,Medium
1,6,True,19,9,0.89,3,0,37,50,6.073619193404947,Medium
9,5,True,15,6,1.84,1,0,39,50,8.785199316568319,High
19,5,True,15,3,2.09,2,1,45,50,11.167428706671195,High
16,6,True,19,12,2.36,1,0,21,50,6.152141308840884,Medium
11,4,False,1,10,2.79,2,0,32,50,8.671927757204779,Medium
6,6,True,5,6,2.33,1,0,23,50,5.819997832941029,Medium
14,0,False,14,14,2.26,2,0,24,50,5.8993663299654635,Medium
0,5,True,5,7,0.62,3,1,38,50,7.740906805597338,High
23,4,False,13,4,2.04,3,1,39,50,10.752034065701011,High
19,3,False,18,3,2.11,2,0,47,50,10.144107452482208,High
0,1,False,11,12,1.18,1,0,22,50,3.9151497893167106,Medium
22,0,False,8,13,2.61,1,0,23,50,6.40888141754686,Medium
20,1,False,13,11,2.69,2,0,42,50,10.965502494538963,High
8,2,False,17,3,1.53,1,0,38,50,7.833548690585019,High
4,3,False,17,7,2.38,3,0,39,50,9.266073254536613,High
15,0,False,13,11,0.75,1,1,29,50,4.794354704670093,Medium
13,6,True,20,3,1.73,1,0,35,50,5.521770890845758,Medium
20,3,False,16,9,0.78,3,1,50,50,11.222259158187278,High
10,1,False,15,12,2.22,3,1,50,50,13.810791132091282,High
7,1,False,9,2,2.73,1,0,32,50,10.182753450640693,Medium
12,0,False,20,1,2.87,3,0,33,50,9.880777889373782,Medium
11,5,True,7,11,1.12,1,0,17,50,3.4528992755961605,Low
19,3,False,8,13,2.56,2,0,37,50,10.850127320337702,Medium
16,0,False,1,6,1.59,3,1,37,50,8.73162638990854,Medium
15,5,True,11,12,0.68,2,1,32,50,7.497880648783602,Medium
13,6,True,1,5,2.24,1,0,21,50,5.90835837064146,Medium
23,3,False,8,10,0.97,2,0,30,50,4.560433669223151,Medium
8,3,False,17,9,1.27,3,0,50,50,10.410981508264733,High
1,1,False,18,11,0.61,1,0,19,50,2.8677387622115917,Low
21,2,False,17,13,0.66,1,0,34,50,2.9912284590037572,Medium
4,5,True,3,5,1.96,2,0,26,50,6.244639023529247,Medium
8,5,True,1,3,1.19,1,1,38,50,7.1409153931817215,High
2,2,False,18,12,2.54,3,0,41,50,9.786856399976038,High
14,6,True,15,5,2.05,2,0,21,50,7.629212243424794,Medium
14,2,False,19,2,1.37,2,0,23,50,6.554307772785647,Medium
18,0,False,5,13,0.87,3,0,41,50,9.099307446724456,High
1,5,True,2,13,1.02,2,0,40,50,3.9525587486734515,High
15,6,True,11,6,2.24,1,0,23,50,6.4785576109489105,Medium
17,4,False,19,3,2.55,1,0,37,50,9.625421284568077,Medium
4,0,False,12,10,2.74,1,0,23,50,6.6673809082232225,Medium
14,0,False,15,8,2.68,3,0,31,50,10.285677132300254,Medium
16,2,False,20,8,1.71,2,0,28,50,7.242483856750642,Medium
13,2,False,19,7,2.22,3,0,26,50,8.355115783087456,Medium
22,4,False,10,7,1.31,1,0,29,50,4.963570817536283,Medium
2,0,False,13,2,0.72,2,0,37,50,4.219747720563237,Medium
18,1,False,9,5,1.41,2,0,47,50,8.120716213090429,High
21,4,False,6,6,1.11,1,0,22,50,3.3057081144906326,Medium
22,0,False,3,3,0.55,2,1,34,50,6.186983164584785,Medium
10,3,False,15,6,2.94,2,0,49,50,12.16317006525951,High
10,1,False,19,13,2.42,1,0,26,50,9.479878674893355,Medium
16,3,False,15,1,2.03,1,0,18,50,5.526960100676341,Low
10,2,False,1,6,1.34,1,0,43,50,6.879015660551808,High
4,0,False,17,9,1.99,2,0,28,50,7.26853606359027,Medium
11,1,False,14,5,2.33,3,0,34,50,9.20329489373645,Medium
21,3,False,8,11,2.49,1,0,22,50,6.677226071189149,Medium
13,1,False,4,9,2.69,1,0,19,50,5.860937732411073,Low
18,4,False,6,1,2.37,2,0,49,50,10.620410666984917,High
13,4,False,8,8,2.06,1,1,30,50,6.880706877110079,Medium
19,6,True,15,13,1.74,2,0,48,50,9.965038888956864,High
0,5,True,4,6,2.29,2,0,25,50,7.623517614073336,Medium
14,3,False,13,8,2.01,2,0,28,50,5.7335343793078275,Medium
12,1,False,19,3,1.91,2,0,26,50,6.231107229253823,Medium
22,6,True,14,11,0.88,2,0,30,50,4.658576890164924,Medium
10,3,False,12,4,2.8,3,0,50,50,13.702485323650373,High
8,5,True,19,13,0.76,3,1,47,50,10.85536314647209,High
13,3,False,1,6,1.8,2,0,27,50,6.520996050710505,Medium
19,0,False,9,3,1.5,2,1,38,50,10.355019550129473,High
1,2,False,17,11,0.58,3,0,36,50,5.062864786577124,Medium
20,0,False,17,13,1.95,2,0,47,50,9.391403914727304,High
19,0,False,17,4,1.54,1,1,40,50,10.86667990162493,High
12,5,True,19,11,2.5,1,0,32,50,5.783145713769057,Medium
15,2,False,18,1,2.44,2,0,23,50,6.840811672540529,Medium
5,2,False,4,1,1.34,1,0,23,50,4.4368977067903055,Medium
1,3,False,1,7,2.95,3,1,24,50,13.011101673103969,Medium
2,6,True,8,6,1.35,2,1,32,50,8.558328888227361,Medium
2,5,True,14,11,2.91,3,0,30,50,9.473366912645105,Medium
17,6,True,10,7,2.34,3,0,50,50,12.345159534121308,High
17,1,False,1,5,1.35,1,0,43,50,6.421685413238048,High
4,4,False,6,14,1.41,3,0,30,50,7.403207574381444,Medium
13,6,True,17,2,0.56,1,0,28,50,2.0,Medium
21,5,True,11,14,2.96,2,0,32,50,8.105203507011836,Medium
16,4,False,6,10,2.3,1,0,20,50,5.650600045878767,Medium
7,1,False,12,13,2.16,1,1,33,50,9.899562884334177,Medium
13,1,False,11,1,0.71,2,0,26,50,3.657992379136485,Medium
3,0,False,7,8,1.92,2,0,30,50,6.887660403473859,Medium
0,1,False,4,4,0.91,3,0,46,50,6.079938705101854,High
8,0,False,8,1,1.53,2,0,44,50,8.661524282112724,High
17,4,False,12,12,2.92,1,0,37,50,10.832861358411781,Medium
16,4,False,17,10,2.23,2,0,33,50,8.102266516966946,Medium
4,5,True,16,6,2.95,3,0,35,50,10.258342342083694,Medium
14,1,False,16,7,3.0,2,0,28,50,8.633529940610561,Medium
6,0,False,19,8,2.93,3,0,35,50,10.374159188065232,Medium
17,2,False,10,7,0.59,2,0,50,50,6.65875756288643,High
22,6,True,12,7,1.29,2,0,22,50,6.095922269734317,Medium
15,4,False,10,12,1.08,1,1,25,50,6.016699795102723,Medium
2,2,False,7,14,1.38,3,0,33,50,8.409449061809624,Medium
23,3,False,15,9,2.42,2,0,33,50,7.403684686314494,Medium
2,4,False,14,8,1.22,1,0,26,50,3.9226575563066093,Medium
16,0,False,4,12,2.89,3,0,35,50,10.417002892542786,Medium
13,2,False,13,2,0.92,3,0,37,50,6.4232261041065275,Medium
20,2,False,13,14,1.08,1,0,36,50,6.937688408403454,Medium
5,4,False,5,6,2.92,3,1,32,50,13.050252123994927,Medium
16,2,False,3,6,2.06,2,0,25,50,5.997166400503082,Medium
8,2,False,2,12,0.59,1,1,44,50,7.226982102748862,High
14,5,True,8,11,2.31,2,0,24,50,7.96738051542327,Medium
4,4,False,17,2,1.74,2,0,35,50,6.235280278740889,Medium
1,2,False,13,13,2.33,2,1,27,50,9.34107345163528,Medium
15,0,False,13,11,1.1,3,0,37,50,6.235865274291775,Medium
